commentId,text,video_title,label_llm,label_revisao,
UgzvcKga2NEZlPZ9clR4AaABAg,Ótimos depoimentos,"1ª Live da série especial ""Quando eu cuido de mim"" com Rossandro Klinjey",POSITIVO,OK,
UgySooSDI7CLh85HyLB4AaABAg,Karnal e Pondé vivem pedindo desculpas por não acreditar em Deus 🤦🏻,Por que sou ateu? Leandro Karnal reage a comentários sobre religião e ateísmo,NEGATIVO,OK,
UgyZVxrHf-L3NKs9oYV4AaABAg,Muito bom,"Aula 1: O Jeito Errado | TDAH, Procrastinação e Foco com Dra. Ana Beatriz Barbosa",POSITIVO,OK,
UgzU4oohUD4ZmTsgWxt4AaABAg,"Tudo é sofrimento. Casado, ou não.",CASAR PARA QUÊ? | MARIA HOMEM,TANGENCIAL,OK,
Ugwb6l1LbYRLd2ndmiZ4AaABAg,"Esse vídeo me fez muito bem pessoalmente, profissionalmente e academicamente","estar pronta é uma decisão, não um sentimento",POSITIVO,OK,
UgzTCBfE6M6tqclfUah4AaABAg,Ninguém está notando que o que falta é os pais criarem seus filhos na palavra de DEUS.... falta fé e esperança...,Adolescentes Violentos: Um Sinal de Alerta Urgente! | ANA BEATRIZ,TANGENCIAL,OK,
Ugz9QtvuhoZVjN7iwZF4AaABAg,Pessoas curadas são pessoas que curam..obrigado pelo carinho ❤️,"1ª Live da série especial ""Quando eu cuido de mim"" com Rossandro Klinjey",POSITIVO,OK,
UgxjAZOTUDISNvZjayF4AaABAg,"Ou seja... todo mundo e toxico. Pq, se a pessoa reclama de algo que nao ta bom, de ser perseguido, pq acontece, é  ser toxico, entao, todo mundo e.",Rossandro Klinjey - Como conviver com pessoas abusivas e tóxicas,NEGATIVO,OK,
UgzwkK3ygMTN5tXPWAh4AaABAg,"Existem crimes silenciados no Brasil, pode crer.",Caso Epstein: Como o Sistema Falhou por 14 Anos? | ANA BEATRIZ,TANGENCIAL,OK,
UgyTVQSDJyg__M9xbwp4AaABAg,Que saudadeeee,AGRADECIMENTOS FINAIS,TANGENCIAL,OK,
UgwCbuomR4eYPSUw04F4AaABAg,"❤ Campanha que mantém esse canal no ar: https://apoia.se/ludoviajante ❤
12 meses de trampo, evitei IA o máximo que pude, contratei 3 artistas pra ajudar (créditos na descrição). Obrigado a vocês que tornam esse canal possível, seja assistindo ou apoiando! Agora com licença que o pai precisa por o sono em dia 😴 rapaz to até zonzo

PS: ativem o sino pra serem avisados do próximo video!!! (que virá em menos de 1 ano, ou meu nome não é orfeuzinho)",Pra você que pensa e sente demais | A filosofia da ansiedade,POSITIVO,OK,"Mas... é o comentário do criador do vídeo.
Não acho que isso importa"
Ugwb5ubBD3g2lhGs6cN4AaABAg,"Sou seu fã, mente brilhante!
Parabéns pelo talento e grandiosidade, mais uma vez mudou minha vida, Deus te abençoe Leandro Karnal, obrigado por tudo que faz aos que te ouvem...🙏🙌",Estoicismo: a Filosofia da felicidade e do desapego | Leandro Karnal,POSITIVO,OK,
Ugy144YloiGLUbURx-R4AaABAg,Gratidão pelos seus ensinamentos em caminho da Evolução,"1ª Live da série especial ""Quando eu cuido de mim"" com Rossandro Klinjey",POSITIVO,OK,
Ugzlo9wVUL_UGz55Jjt4AaABAg,💜,Você tem tudo para estar bem... mas não está.,POSITIVO,OK,
Ugxnf9pOfKrl6x84M8l4AaABAg,"Eu tbm usei andolba, ajudou muito.",O RETORNO DA PEPEKA DEPOIS DO PARTO NORMAL VAGINAL | Juliana Goes,TANGENCIAL,OK,
UgzMX1zDs5L3ImcXJmV4AaABAg,"fiquei com saudade, e vim rever.... muito amor❤",AGRADECIMENTOS FINAIS,POSITIVO,OK,
UgyqND-t7jyWYaXiYTJ4AaABAg,"Mulheres não lamentem o tempo que vcs passaram no escuro. Pq foram necessários para o aprendizado. Ninguém nasce com uma bússola. ❤
Antes tudo era mais difícil não existiam a internet para nos passar as informações. 
Deus abençoe vocês!","1ª Live da série especial ""Quando eu cuido de mim"" com Rossandro Klinjey",TANGENCIAL,OK,
Ugxb0cJfpajLuKTYPLh4AaABAg,Eu que te-agradeço ♥️✨😊✨👍,Assista quando estiver deprimido,POSITIVO,OK,
UgwMpUVxHY0RtUtPWbl4AaABAg,"Seus vídeos são tão leves Ju! Você é tão leve, passa uma calmaria ..
Obrigada por toda essa informação!",O RETORNO DA PEPEKA DEPOIS DO PARTO NORMAL VAGINAL | Juliana Goes,POSITIVO,OK,
UgwtK5_q4nX9Es3Nq6V4AaABAg,Muito bom!!,Rossandro Klinjey - Como conviver com pessoas abusivas e tóxicas,POSITIVO,OK,
Ugw516w7nvY_SHJ4LpR4AaABAg,"Cara, vi a Maria Homem ferrando um pensador ateu crente na mão invisível.... Cara, tenho ouvido mulheres e acreditem, elas são mais sensatas! Não sei porque a contribuição mais valiosa é tão menosprezada!",Feminicídio no Brasil: por que homens odeiam mulheres? | Maria Homem,POSITIVO,OK,
UgxQD4n2hlenWWo_k8V4AaABAg,Tu é foda.,você não é seu desempenho.,POSITIVO,OK,
Ugyz6LmEJhw5oJu5oxp4AaABAg,👍👊👏👏👏👏💯🙌🙌🙌,Continue fingindo que nada mudou  #saudemental #reflexão #mudança #autocuidado #tempodecrescer,POSITIVO,OK,
Ugz8ETKBclCaMKelemh4AaABAg,👏👏👏👏🙌,Estoicismo: a Filosofia da felicidade e do desapego | Leandro Karnal,POSITIVO,OK,
UgyotMtT_h0qG8d9l3Z4AaABAg,"Oi Ju não sei se vc vai conseguir ver essa msg.. eu passei pelo mesmo.. dos 4 aos 9 meses.. 6 de seis despertares noturnos.. homeopatia, rotina bem ajustada.. osteopatia pediátrica.. mas passou virou uma chavinha um belo dia do mesmo jeito q passou a n dormir aos 4 meses, dormiu aos 9 meses. A osteopatia diante todas as táticas que mais ajudou. Ajuste do ciclo circadiano. Ajudou demais. Vê se consegue tbm! Um bjo",MEU FILHO NÃO DORME | SONO DO BEBÊ por Juliana Goes,TANGENCIAL,OK,
UgyEA-UfBX96w4r2meV4AaABAg,💙,5 sinais de que você é imaturo emocionalmente e não sabe,POSITIVO,OK,
UgyadcEd4hy8gMeN4PJ4AaABAg,"Conheco apenas um pequeno texto do Spinosa com o qual me identifico, realmente está na natureza, as respostas para todos os questionamentos da ordem existencial. Também tenho conclusões  parecidas com a de voces, embora não esteja à altura de entender todos os argumentos expostos. O final dessa entrevista foi espetacular . O conhecimento liberta de verdade.","Espinosa, o principal filósofo português? | Leandro Karnal e José Rodrigues dos Santos",POSITIVO,OK,
UgzujUzrlKyiRg8ZujV4AaABAg,Fantástico 😊,Faça o seu teste da autoestima! Aula 01 | Oficina Autoestima Curativa,POSITIVO,OK,
UgwzAQiaj9EjR9IQ5U94AaABAg,que saudade 😢,AGRADECIMENTOS FINAIS,TANGENCIAL,OK,"Poderia ser considerado positivo, dado o título do vídeo,
Mas entendo que não se refere ao vídeo em si, então OK"
UgyZ-ZVztRqbuPe_7Ed4AaABAg,Hudson Um cara tão inteligente mas fica com esse papinho idiota de capitalismo,Assista quando estiver deprimido,NEGATIVO,OK,
UgyI0MELZmcvvVqBou94AaABAg,💛,Como resgataria meu amor-próprio,POSITIVO,OK,
UgxinTwbmx_jLKJ_qpR4AaABAg,Você é tão linda. Te amo,como fazer amigos depois do isolamento (e paranóias de ser chata),POSITIVO,OK,
UgwHKye2G9zkz7T7AVl4AaABAg,Faz muito sentido... Gratidão 🙏🏿,Continue fingindo que nada mudou  #saudemental #reflexão #mudança #autocuidado #tempodecrescer,POSITIVO,OK,
UgywFHZWvlQ6K5UCPt94AaABAg,"Gostaria de ter sabido disso antes... Nunca fale sobre nada com eles, eles usam tudo para fazer maldade, colocando um contra o outro para levar vantagens, te isola de todos para ninguém saber o que está passando. Fora o que não posso falar aqui. Que seres vivos nojentos. Asquerosos!!🤢",O que fazer quando o narcisista convive com você? #98,TANGENCIAL,OK,Mas... poderia ser considerado positivo.
