commentId,text,channel_type,likeCount,video_title,label_llm,label_revisao
UgyvuT1n9GgKTNQlw554AaABAg,"Escrevo frases para reflexão ou não kkkk foi a forma q encontrei de contribuir para um mundo melhor. ""no fim da vida chegamos ao cume da montanha e só ali percebemos q existem tantas outras para percorrer""",profissional,1,Estoicismo: a Filosofia da felicidade e do desapego | Leandro Karnal,POSITIVO,
UgxFpzpLUczTzg3xxBJ4AaABAg,Gente pq ela parou de gravar,amador,1,GIRLS EDUCATION: ELAS QUE LUTAM,NEGATIVO,
UgxXDewnLSg2WKgeqUR4AaABAg,💙💙💙💙,amador,0,5 sinais de que você é imaturo emocionalmente e não sabe,POSITIVO,
UgwNRdwilA9wm-D9Yxp4AaABAg,"Esse vídeo é muito pertinente. Falo com propriedade. Trabalhei em uma empresa de grande porte. Quando entrei era o sonho de vida, boa remuneração e vários tipos de adicionais, VA, VR, plano de saúde e odontológico. Fora que dava para construir uma carreira, ou seja, via-se possibilidade de crescimento e desenvolvimento. 
A pandemia veio para dar uma poda e mudar muitas coisas, porém só mostrou a face de muitas pessoas pelo poder e lucratividade. Onde eu estava, a vaidade era demais também, cada um querendo chamar mais a atenção e ter mais poder. O mais engraçado é que quem entra, começa a achar até natural isso, e quando você vê está doente por tentar alcançar um patamar que as vezes nem faz sentido para você. Porém te disseram tanto que é assim, que nem questionamos. E quando você começa a se cuidar mentalmente, tem mais consciência e percebe que não vale se desgastar, você começa a mudar, e para piorar vem questionar sua mudança, ou porque você que não questionava, questiona agora, com o dizer, aqui sempre foi assim. 
Não caiam nessa, tenham um plano e sejam estratégicos de onde querem chegar. Não deixe a sociedade ou o ambiente profissional ditar seu futuro. Precisamos trabalhar, porém com consciência e no que faz sentido pra cada um.",profissional,171,"SAÚDE MENTAL NO TRABALHO | Série ""Profissional do Futuro”",POSITIVO,
UgxjM8B3qe-4yRj8MHJ4AaABAg,"Obrigada por esse vídeo maravilhoso, Karnal.",profissional,0,Amor aos pets: a relação entre seres humanos e animais na História,POSITIVO,
UgxvlI8DYsuUuYTCfQJ4AaABAg,"Amei, era exatamente isso que eu precisava ouvir Elora 💕",amador,0,"estar pronta é uma decisão, não um sentimento",POSITIVO,
UgyS6tWmPRYZcpVugkR4AaABAg,"Larguei quase totalmente o Instagram há quase 5 anos, porque eu mesma percebi que a ansiedade e os sentimentos depressivos (incluindo ideação s*) aumentavam muito conforme eu usava ele. Agora me mantenho somente no YouTube, sem ver tantos shorts - meu limite é 5 por dia - e vendo somente conteúdos com valor de conhecimento. 
Isso ajudou MUITO na melhora dos meus sintomas. O que prejudica é que eu sou vista como ""louca"" porque não olho Instagram. Parece que ver redes sociais todos os dias não só é uma  pandemia como também é  considerado doente quem não vê. Essa parte é difícil para mim.",profissional,90,O PERIGO REAL sobre o novo TDAH que ninguém te contou,NEGATIVO,
Ugy7nNoAJOMd4bz-CaF4AaABAg,"Eu sou uma pessoa horrível, um erro que nunca deveria ter existido",amador,2,Assista quando estiver deprimido,NEGATIVO,
UgzJqJe7iZ4PH5GA1Cd4AaABAg,"Vi isso no meu segundo casamento. Tenho energia pra marido não. Nunca tive. Queria até ter descoberto isso antes, tinha me economizado tempo.",profissional,144,CASAR PARA QUÊ? | MARIA HOMEM,POSITIVO,
UgxmfhxXyl1-f0PYnJN4AaABAg,"Me ajude, Karnal. Estou sofrendo um crime cibernético e estou em sofrimento intenso.",profissional,0,"Espinosa, o principal filósofo português? | Leandro Karnal e José Rodrigues dos Santos",NEGATIVO,
Ugy5NIotZH_REvU4FRx4AaABAg,Não tive filhos e não me arrependo.A cada dia agradeço ter tido essa lucidez❤,profissional,172,CASAR PARA QUÊ? | MARIA HOMEM,POSITIVO,
UgwkoSpWqRL1edGNGRh4AaABAg,Gratidão!,profissional,0,Continue fingindo que nada mudou  #saudemental #reflexão #mudança #autocuidado #tempodecrescer,POSITIVO,
Ugx7vUd8to2tMJ8BFf94AaABAg,"A nossa escuridão, aí está nossa luz. Shalon.",profissional,0,Rossandro Klinjey - Como parar de sentir tristeza?,POSITIVO,
Ugx2xjCFZnj1SVJdJwd4AaABAg,💜,amador,0,Você tem tudo para estar bem... mas não está.,POSITIVO,
UgxhHfPiRwnupt9PEMB4AaABAg,As pessoas já não pensam mesmo. Sequer elas ouvem.,profissional,0,Leandro Karnal desafia o ChatGPT,NEGATIVO,
UgwigUt7q2YA1qTdqIh4AaABAg,1 mês pós parto aqui e já dei like antes de começar hahaha 😘😘,amador,3,O RETORNO DA PEPEKA DEPOIS DO PARTO NORMAL VAGINAL | Juliana Goes,POSITIVO,
UgxFwK-_BDhh41aXWN14AaABAg,"Memória é o grande mote dessa série, não é professor? Desde sua construção até o seu esmaecimento. Queria aqui fazer duas menções honrosas: Miguel e tio Nick. Esses dois também me arrancaram muitas lágrimas.",profissional,124,"Karnal Recomenda: ""This Is Us"" - 6ª temporada | Leandro Karnal",POSITIVO,
Ugzb_Laz-bnKcIYI8Sl4AaABAg,Princesa linda pode voltar já amor,amador,1,GIRLS EDUCATION: ELAS QUE LUTAM,POSITIVO,
UgxLaLd1_f_ijOnqOZx4AaABAg,Amando essas explicações,profissional,0,Aula 2: O Jeito Certo de lidar com o TDAH - Dra. Ana Beatriz Barbosa,POSITIVO,
Ugz5pxag-nUOeA8GWeh4AaABAg,"Brasil é um país que produz chefes e não Líderes... Cansei de ouvir "" lideranças"" falando para colaboradores : Cuidado, emprego está difícil . Que mentalidade pequena e opressora. É por isso que não faço extras e não abro mão da paz do meu lar , do meu descanso. É somente aquelas horas que sou pago e acabou.",profissional,610,"SAÚDE MENTAL NO TRABALHO | Série ""Profissional do Futuro”",NEGATIVO,
UgxSfAJOi0s9Los2PWh4AaABAg,Homens não gostam de mulheres; gostam do poder (real ou ilusório) exercido sobre elas.,profissional,189,Feminicídio no Brasil: por que homens odeiam mulheres? | Maria Homem,NEGATIVO,
UgxxVtT_HEuv1NTQCkN4AaABAg,💙,amador,0,5 sinais de que você é imaturo emocionalmente e não sabe,POSITIVO,
Ugz4QjK3AjSKjCRYPex4AaABAg,Sim!,profissional,1,Quem te machucou não merece sua energia #saudemental #reflexão #mudança #autocuidado #tempodecrescer,POSITIVO,
UgxZdDybsn6SrIdkEch4AaABAg,💙,amador,0,5 sinais de que você é imaturo emocionalmente e não sabe,POSITIVO,
UgxQBaxzK5u5SgSnWz14AaABAg,Sobreviver a um casamento com narcisista de 50 anos  me faz ver o quanto sou forte. Só que custa e doi. Além das sequelas que trás.  Quando eu nascer de novo esse bicho não me pegará mais,profissional,9,O que fazer quando o narcisista convive com você? #98,NEGATIVO,
UgzcAaYlAIHZfgI1y_l4AaABAg,❤❤❤❤❤❤❤❤,amador,0,Como resgataria meu amor-próprio,POSITIVO,
