commentId,text,channel_type,likeCount,video_title,label_llm,label_revisao
UgwjHXddIg4ixhCCzAp4AaABAg,Dia 12 faço 27 ❤❤,amador,0,27 lições com 27 anos,POSITIVO,
Ugymocs-AJhm89GDQgx4AaABAg,👏👏👏,profissional,0,Faça o seu teste da autoestima! Aula 01 | Oficina Autoestima Curativa,POSITIVO,
UgzFLhV4nR1sWJ6y_vB4AaABAg,"Excelente ,🙏🏼😊",profissional,0,O que é ser inteligente hoje? A NOVA INTELIGÊNCIA | Série Profissional do Futuro #2,POSITIVO,
Ugxr1yQXu8XE8aHrsWp4AaABAg,💙,amador,0,5 sinais de que você é imaturo emocionalmente e não sabe,POSITIVO,
UgzJZeHJXvIVx_QhDyN4AaABAg,Tudo que eu fiz que mudou minha vida para algo mais proximo do que eu queria eu fiz me cagando de medo. Mas eu decidi tentar e percebi que eu era capaz de coisas q nem eu imaginava.,amador,110,"estar pronta é uma decisão, não um sentimento",TANGENCIAL,
UgwesqeCcviNMr8TdM54AaABAg,"Se colocarmos em uma perspectiva ""humana"", a ""Inteligência Artificial"" tem cerca de 5 anos?
Talvez um pouco menos ou mais? 
E os debatedores somados, 200 anos?
Estamos comparando respostas de sábios muito experientes com as respostas de uma criança?",profissional,0,Leandro Karnal desafia o ChatGPT,TANGENCIAL,
UgwN_YFVd_zoqEXHiOB4AaABAg,Obrigada por ser quem você é! se a gente  pudesse se enxerrgar com os olhos dos outros ... vc inspira,amador,0,"estar pronta é uma decisão, não um sentimento",POSITIVO,
Ugx4ijFlZ8nJkHlxuCZ4AaABAg,"sonbre os 12 dias de silencio, paro pr pensar muito q o universo não precisa ouvir pra saber em que frequencia estamos vibrando mesmo em silencio , muito fd",amador,1,ENCERRAMENTO MASSA,TANGENCIAL,
UgzVvoD9ATW4nPZtou54AaABAg,💛,amador,0,Como resgataria meu amor-próprio,POSITIVO,
UgxoxD54me4wACDUM_x4AaABAg,"Como eu me identifiquei com esse vídeo, e como eu precisava escutar isso, nao esta escrito...Muito obrigada, de todo coração.",amador,0,"estar pronta é uma decisão, não um sentimento",POSITIVO,
UgzCs2fDbRJrrcHg2Kh4AaABAg,Muito bom! Gratidão ❤👏👏👏👏,profissional,3,Continue fingindo que nada mudou  #saudemental #reflexão #mudança #autocuidado #tempodecrescer,POSITIVO,
UgwwADYmyY4HivsKJq14AaABAg,💙💙💙,amador,0,5 sinais de que você é imaturo emocionalmente e não sabe,POSITIVO,
UgxybuiYuaI-LNitYXd4AaABAg,Viver sem querer é como respirar sem pulmões para preencher. Sinto como se já tivesse feito o que tinha que fazer e estou perdido sem saber como sair disso.,amador,1,Assista quando estiver deprimido,TANGENCIAL,
UgzqIqVbyX_CZOXTwvV4AaABAg,Análise superficial e incorreta,profissional,0,O Caso Epstein: Quando o Poder Compra a Justiça | ANA BEATRIZ,NEGATIVO,
UgyCOH578VtDwR1nddR4AaABAg,aí gente tô tendo taquicardia,amador,0,Assista quando estiver cansado da vida | A filosofia de Sartre,TANGENCIAL,
UgyFwPtsGrunFRHifUp4AaABAg,"Perfeito, Rossandro",profissional,0,Continue fingindo que nada mudou  #saudemental #reflexão #mudança #autocuidado #tempodecrescer,POSITIVO,
UgyRzbZQveVM8cbnFYp4AaABAg,Jojout volta 🙏🏽♥️,amador,0,GIRLS EDUCATION: ELAS QUE LUTAM,TANGENCIAL,
UgwhvOjO9TzBJmb9oaJ4AaABAg,"gente, eu não tenho nada contra a moça do vídeo! muito pelo contrário, sempre achei ela incrível! não gosto do discurso meritocrático num âmbito geral mas não é nada pessoal! ela só tá reproduzindo um discurso específico que eu acho que pode ser destrutivo a longo prazo… mas não encanem com a pessoa, independente de qualquer discordância minha, ela tem que ser respeitada :)",amador,178,você não é seu desempenho.,NEGATIVO,
UgyL8MCbKfetpRRfxUB4AaABAg,"Constelação  Familiar na verdsde e muito.perigosa, pq na tentativa de ""lavar toda royia suja da familia""td, muitos ali no Grupo podem ter alguma Patologia seria  q podera  ser agravada  depois se eje nao fizer  acomoanhsmebto Psiquiatrico e Psicologico para elaborar algo  q o atingiu  em cheio comonuna espada  no peito,  durante  a tal lavação de roupa suja. 
Dependendo pode levar so Suicidio. 
E alguém q ja e Narcisista pode Manipular  algum membro  mais fragil, e no fim se tornar um Grupo ainda maus doente emocional e psiquicamente,  e dependendo,  se nso tiverem condições  e Suporte de Prifissionais gabaritados, pode chegar a tragédias.",profissional,0,Rossandro Klinjey - Como conviver com pessoas abusivas e tóxicas,NEGATIVO,
UgyI_rdC4A1NO5uq0C14AaABAg,💛,amador,0,Desapego: por que soltar é tão difícil?,POSITIVO,
Ugw1m11FKYm54JrmVeZ4AaABAg,Muitooo relevante ❤❤❤❤.  Esse cara é fera,profissional,0,Rossandro Klinjey - Como conviver com pessoas abusivas e tóxicas,POSITIVO,
